id,nombre,pais_ciudad,latitud,longitud,anio_fundacion,descripcion,sitio_web
1,Mahou San Miguel,España - Madrid,40.4168,-3.7038,1890,"Compañía familiar 100% española y líder del sector cervecero en España. Fundada por Casimiro Mahou, cuenta con más de 130 años de historia elaborando cervezas de calidad.",https://www.mahou-sanmiguel.com
2,Cervezas Alhambra,España - Granada,37.1773,-3.5986,1925,"Cervecera granadina reconocida por su calidad y tradición. Parte del grupo Mahou San Miguel desde 2007, elabora cervezas premium con carácter mediterráneo.",https://www.cervezasalhambra.es
3,Damm,España - Barcelona,41.3851,2.1734,1876,"Fundada por August Kuentzmann Damm en Barcelona. Una de las cerveceras más antiguas de España, conocida mundialmente por Estrella Damm.",https://www.damm.com
4,Estrella Galicia,España - A Coruña,43.3623,-8.4115,1906,Cervecera gallega fundada por José María Rivera Corral. Reconocida internacionalmente por la calidad de sus cervezas y su compromiso con la tradición cervecera.,https://www.estrellagalicia.es
5,Heineken España,España - Sevilla,37.3891,-5.9845,1904,Filial española del grupo Heineken. Produce Cruzcampo desde su fundación en Sevilla y distribuye las marcas internacionales del grupo en España.,https://www.heineken.com/es
6,Basqueland Brewing,España - Hernani (Guipúzcoa),43.2667,-1.9833,2015,Cervecera artesanal vasca pionera en el movimiento craft en España. Conocida por sus IPAs innovadoras y colaboraciones internacionales.,https://basqueland.com
7,Cervezas La Virgen,España - Madrid,40.4168,-3.7038,2011,Cervecera artesanal madrileña que elabora cervezas de alta calidad. Combina tradición e innovación en el barrio de Las Tablas de Madrid.,https://www.cervezaslavirgen.com
8,Yakka,España - Barcelona,41.3851,2.1734,2015,Cervecera artesanal barcelonesa que elabora cervezas de fermentación natural. Apuesta por ingredientes locales y procesos tradicionales.,https://www.yakka.beer
9,Dougall's,España - Liérganes (Cantabria),43.3333,-3.7500,2006,"Una de las cerveceras artesanales pioneras en España. Situada en Cantabria, combina tradición británica con carácter español.",https://www.dougalls.es
10,Cerveza Arriaca,España - Yunquera de Henares (Guadalajara),40.6167,-3.1833,2014,Cervecera artesanal de Guadalajara que elabora cervezas con agua del manantial de Arriaca. Reconocida por sus cervezas de alta calidad.,https://www.cervezaarriaca.com
11,Cierzo Brewing,España - Zaragoza,41.6488,-0.8891,2014,Cervecera artesanal aragonesa ubicada en Zaragoza. Reconocida por sus IPAs y cervezas experimentales de alta calidad.,https://www.cierzobrewing.com
12,Garage Beer Co,España - Barcelona,41.3851,2.1734,2015,Cervecera artesanal barcelonesa especializada en cervezas ácidas y experimentales. Referente del movimiento craft en el sur de Europa.,https://www.garagebeer.co
13,Laugar Brewery,España - Gordexola (Vizcaya),43.2000,-3.0833,2010,"Cervecera artesanal vasca situada en el Valle de Arratia. Pionera del movimiento craft en España, reconocida por sus IPAs y stouts.",https://www.laugarbrewery.com
14,Montseny,España - Sant Miquel de Balenyà (Barcelona),41.8667,2.4167,2007,Cervecera artesanal catalana situada en el Parque Natural del Montseny. Elabora cervezas ecológicas de alta calidad con ingredientes locales.,https://www.ccvrac.com
15,Tyris,España - Valencia,39.4699,-0.3763,2015,Cervecera artesanal valenciana que apuesta por la innovación y la calidad. Reconocida por sus cervezas lupuladas y experimentales.,https://www.tyrisbeer.com
16,Nómada Brewing,España - Barcelona,41.3851,2.1734,2012,Cervecera nómada barcelonesa sin fábrica propia. Elabora sus cervezas en colaboración con otras cerveceras de todo el mundo.,https://www.nomadabrewing.com
17,Saltus Brewing,España - Bilbao,43.2630,-2.9350,2017,Cervecera artesanal vasca ubicada en Bilbao. Elabora cervezas de estilo americano con carácter vasco y materia prima de calidad.,https://www.saltusbrewing.com
18,Antiga Artesana,España - Barcelona,41.3851,2.1734,2011,Cervecera artesanal barcelonesa que elabora cervezas de inspiración belga y americana. Comprometida con la sostenibilidad y la calidad.,https://www.antigaartesana.com
19,Zeta,España - Madrid,40.4168,-3.7038,2013,Cervecera artesanal madrileña que elabora cervezas de estilo alemán y americano. Ubicada en el barrio de Tetuán de Madrid.,https://www.cervezazeta.com
20,Barcelona Beer Company,España - Barcelona,41.3851,2.1734,2002,"Una de las pioneras de la cerveza artesanal en España. Situada en el Poblenou de Barcelona, apuesta por la innovación constante.",https://www.barcelonabeercompany.com
21,Rec Brew,España - Barcelona,41.3851,2.1734,2017,Cervecera artesanal barcelonesa ubicada en el barrio del Poblenou. Especializada en Session IPAs y cervezas de bajo contenido alcohólico.,https://www.recbrew.com
22,Freddo Fox,España - Madrid,40.4168,-3.7038,2016,"Cervecera artesanal madrileña conocida por sus IPAs potentes. Ubicada en Coslada, elabora cervezas de estilo americano.",https://www.freddofox.com
23,Guinness,Irlanda - Dublín,53.3498,-6.2603,1759,Icónica cervecera irlandesa fundada por Arthur Guinness. Mundialmente reconocida por su Stout cremosa de color negro característico.,https://www.guinness.com
24,Grupo Modelo,México - Ciudad de México,19.4326,-99.1332,1925,"Cervecera mexicana fundada en Ciudad de México. Productora de Corona, una de las cervezas más vendidas del mundo.",https://www.gmodelo.mx
25,AB InBev (Stella Artois),Bélgica - Lovaina,50.8798,4.7005,1366,Cervecera belga con más de 600 años de historia. Stella Artois es una de las marcas premium más reconocidas a nivel mundial.,https://www.stellaartois.com
