id,nombre,estilo_id,cerveceria_id,cerveceria_nombre,formato,capacidad_cl,imagen_url,precio_eur
1,Mahou Clásica,1,1,Mahou San Miguel,Lata,33.0,http://googleusercontent.com/image_collection/image_retrieval/1471187586612582665_0,0.7
2,Mahou Cinco Estrellas,1,1,Mahou San Miguel,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/11256781458328185248_0,0.85
3,San Miguel Especial,1,1,Mahou San Miguel,Lata,33.0,http://googleusercontent.com/image_collection/image_retrieval/9007605565171580763_0,0.85
4,Alhambra Especial,1,2,Cervezas Alhambra,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/1494507754390722242_0,1.1
5,Alhambra Reserva Roja,15,2,Cervezas Alhambra,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/7066570854551610904_0,1.35
6,Estrella Damm,2,3,Damm,Lata,33.0,https://cdn.damm.com/products/estrella-damm-lata-330ml.png,1.1
7,Damm Lemon,1,3,Damm,Lata,33.0,https://cdn.damm.com/products/damm-lemon-lata-330ml.png,1.1
8,Voll-Damm,15,3,Damm,Botella,33.0,https://cdn.damm.com/products/voll-damm-botella-330ml.png,1.1
9,Estrella Galicia,2,4,Estrella Galicia,Botella,33.0,https://www.estrellagalicia.es/sites/default/files/productos/estrella-galicia-especial-botella-250ml.png,0.7
10,Estrella Galicia 1906,15,4,Estrella Galicia,Botella,33.0,https://www.estrellagalicia.es/sites/default/files/productos/estrella-galicia-1906-botella-250ml.png,0.7
11,Cruzcampo,1,5,Heineken España,Lata,33.0,https://cruzcampo.es/sites/default/files/productos/cruzcampo-lata-330ml.png,1.1
12,Heineken,1,5,Heineken España,Lata,33.0,https://www.heineken.com/media-eu/lkqb2awe/heineken-original-can-330ml.png,1.1
13,Heineken Original,1,5,Heineken España,Botella,33.0,https://www.heineken.com/media-eu/ezvbx0uv/heineken-original-bottle-330ml.png,1.1
14,Basqueland Aupa,3,6,Basqueland Brewing,Lata,44.0,https://basqueland.com/wp-content/uploads/2023/05/basqueland-aupa-lata-440ml.png,1.1
15,Basqueland Imparable,3,6,Basqueland Brewing,Lata,44.0,https://basqueland.com/wp-content/uploads/2023/05/basqueland-imparable-lata-440ml.png,1.1
16,La Virgen IPA,3,7,Cervezas La Virgen,Botella,33.0,https://www.cervezaslavirgen.com/wp-content/uploads/2023/03/la-virgen-ipa-botella-330ml.png,2.75
17,La Virgen Jamonera,1,7,Cervezas La Virgen,Botella,33.0,https://www.cervezaslavirgen.com/wp-content/uploads/2023/03/la-virgen-jamonera-botella-330ml.png,1.1
18,La Virgen 360,6,7,Cervezas La Virgen,Lata,33.0,https://www.cervezaslavirgen.com/wp-content/uploads/2023/03/la-virgen-360-lata-330ml.png,1.1
19,Yakka Blonde Ale,10,8,Yakka,Botella,33.0,https://yakka.beer/wp-content/uploads/2023/01/yakka-blonde-ale-botella-330ml.png,1.1
20,Yakka IPA,3,8,Yakka,Botella,33.0,https://yakka.beer/wp-content/uploads/2023/01/yakka-ipa-botella-330ml.png,2.75
21,Yakka Tripel,14,8,Yakka,Botella,33.0,https://yakka.beer/wp-content/uploads/2023/01/yakka-tripel-botella-330ml.png,1.1
22,Dougall's IPA 942,13,9,Dougall's,Lata,33.0,http://googleusercontent.com/image_collection/image_retrieval/12644870240908426981_0,2.75
23,Dougall's Leyenda,6,9,Dougall's,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/2437239041466172532_0,1.1
24,Dougall's Tres Mares,4,9,Dougall's,Botella,33.0,https://picsum.photos/seed/beer24/400/600,1.1
25,Arriaca Imperial Red IPA,3,10,Cerveza Arriaca,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/15715885356108230464_0,2.75
26,Arriaca Pale Ale,6,10,Cerveza Arriaca,Lata,33.0,https://picsum.photos/seed/beer26/400/600,1.1
27,Cierzo IPA,3,11,Cierzo Brewing,Lata,44.0,https://picsum.photos/seed/beer27/400/600,2.75
28,Cierzo Malandar,9,11,Cierzo Brewing,Lata,44.0,https://picsum.photos/seed/beer28/400/600,1.1
29,Garage Beer Soup,8,12,Garage Beer Co,Lata,44.0,http://googleusercontent.com/image_collection/image_retrieval/13793564275282316452_0,1.1
30,Garage Beer IPA,3,12,Garage Beer Co,Lata,44.0,https://picsum.photos/seed/beer30/400/600,2.75
31,Laugar Aupa Tovarisch,3,13,Laugar Brewery,Lata,44.0,http://googleusercontent.com/image_collection/image_retrieval/5352153307417875782_0,1.1
32,Lauger Basurde,5,13,Laugar Brewery,Botella,33.0,https://picsum.photos/seed/beer32/400/600,1.1
33,Laugar Kiskale,13,13,Laugar Brewery,Lata,44.0,https://picsum.photos/seed/beer33/400/600,1.1
34,Montseny Lupulus,3,14,Montseny,Botella,33.0,https://picsum.photos/seed/beer34/400/600,1.1
35,Montseny Mala Vida,11,14,Montseny,Botella,33.0,https://picsum.photos/seed/beer35/400/600,1.1
36,Tyris Paquita Brown,9,15,Tyris,Lata,44.0,http://googleusercontent.com/image_collection/image_retrieval/13381114359848654173_0,1.1
37,Tyris Socarrat IPA,3,15,Tyris,Botella,33.0,https://picsum.photos/seed/beer37/400/600,2.75
38,Nómada American Pale Ale,6,16,Nómada Brewing,Lata,44.0,https://picsum.photos/seed/beer38/400/600,1.1
39,Saltus Kloratipa,3,17,Saltus Brewing,Lata,44.0,https://picsum.photos/seed/beer39/400/600,2.75
40,Saltus Ttipia,2,17,Saltus Brewing,Lata,33.0,https://picsum.photos/seed/beer40/400/600,1.1
41,Antiga Cream Ale,10,18,Antiga Artesana,Botella,33.0,https://picsum.photos/seed/beer41/400/600,1.1
42,Antiga Belgian Tripel,14,18,Antiga Artesana,Botella,33.0,https://picsum.photos/seed/beer42/400/600,1.1
43,Zeta Hop,3,19,Zeta,Lata,33.0,https://picsum.photos/seed/beer43/400/600,1.1
44,Zeta Hell,1,19,Zeta,Lata,33.0,http://googleusercontent.com/image_collection/image_retrieval/2897341526756425964_0,1.1
45,Barcelona Beer IPA,3,20,Barcelona Beer Company,Lata,44.0,https://picsum.photos/seed/beer45/400/600,2.75
46,Rec Brew Session IPA,13,21,Rec Brew,Lata,44.0,https://picsum.photos/seed/beer46/400/600,2.75
47,Freddo Fox Triple IPA,3,22,Freddo Fox,Lata,33.0,https://picsum.photos/seed/beer47/400/600,2.75
48,Guinness Draught,5,23,Guinness,Lata,44.0,https://www.guinness.com/media/guinness-draught-can-440ml.png,1.1
49,Guinness Draught,5,23,Guinness,Botella,33.0,https://www.guinness.com/media/guinness-draught-bottle-330ml.png,1.1
50,Guinness Extra Stout,5,23,Guinness,Botella,33.0,https://www.guinness.com/media/guinness-extra-stout-bottle-330ml.png,1.1
51,Guinness Special Export,11,23,Guinness,Botella,33.0,https://www.guinness.com/media/guinness-special-export-bottle-330ml.png,1.1
52,Corona Extra,1,24,Grupo Modelo,Botella,33.0,https://www.corona.com/media/corona-extra-bottle-330ml.png,1.1
53,Corona Extra,1,24,Grupo Modelo,Lata,35.5,https://www.corona.com/media/corona-extra-can-355ml.png,1.1
54,Stella Artois,2,25,AB InBev,Botella,33.0,https://www.stellaartois.com/media/stella-artois-bottle-330ml.png,1.1
55,Stella Artois,2,25,AB InBev,Lata,33.0,https://www.stellaartois.com/media/stella-artois-can-330ml.png,1.1
56,Budweiser,1,26,Anheuser-Busch,Lata,33.0,https://www.budweiser.com/media/budweiser-can-330ml.png,1.1
57,Budweiser,1,26,Anheuser-Busch,Botella,33.0,https://www.budweiser.com/media/budweiser-bottle-330ml.png,1.1
58,Paulaner Weissbier,7,27,Paulaner Brauerei,Botella,50.0,http://googleusercontent.com/image_collection/image_retrieval/13853378650646928725_0,1.1
59,Paulaner Hefe-Weizen,7,27,Paulaner Brauerei,Lata,50.0,https://picsum.photos/seed/beer59/400/600,1.1
60,Franziskaner Weissbier,7,28,Spaten-Franziskaner,Botella,50.0,https://picsum.photos/seed/beer60/400/600,1.1
61,Hoegaarden,7,29,AB InBev,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/12768047239143295409_0,1.1
62,Hoegaarden,7,29,AB InBev,Lata,33.0,https://picsum.photos/seed/beer62/400/600,1.1
63,Leffe Blonde,14,30,AB InBev,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/643878859587047324_0,1.1
64,Leffe Brune,9,30,AB InBev,Botella,33.0,https://picsum.photos/seed/beer64/400/600,1.1
65,Chimay Blue,14,31,Chimay Brewery,Botella,33.0,https://picsum.photos/seed/beer65/400/600,3.45
66,Chimay Red,9,31,Chimay Brewery,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/15704553356620942259_0,3.45
67,Duvel,10,32,Duvel Moortgat,Botella,33.0,http://googleusercontent.com/image_collection/image_retrieval/10293570674372714828_0,3.45
68,Brewdog Punk IPA,3,33,BrewDog,Lata,33.0,http://googleusercontent.com/image_collection/image_retrieval/7810616756783007096_0,2.75
69,Brewdog Elvis Juice,3,33,BrewDog,Lata,33.0,https://picsum.photos/seed/beer69/400/600,2.75
70,Sierra Nevada Pale Ale,6,34,Sierra Nevada Brewing,Botella,35.5,http://googleusercontent.com/image_collection/image_retrieval/12561346179224369138_0,2.75
71,Sierra Nevada Torpedo,3,34,Sierra Nevada Brewing,Lata,35.5,https://picsum.photos/seed/beer71/400/600,2.75
72,Lagunitas IPA,3,35,Lagunitas Brewing,Lata,35.5,http://googleusercontent.com/image_collection/image_retrieval/11436632586990184265_0,2.75
73,Stone IPA,3,36,Stone Brewing,Botella,33.0,https://picsum.photos/seed/beer73/400/600,2.75
74,Goose Island IPA,3,37,Goose Island Beer Co,Lata,35.5,https://picsum.photos/seed/beer74/400/600,2.75
75,Brooklyn Lager,15,38,Brooklyn Brewery,Botella,33.0,https://picsum.photos/seed/beer75/400/600,1.1
76,Blue Moon Belgian White,7,39,MillerCoors,Botella,33.0,https://picsum.photos/seed/beer76/400/600,1.1
77,Samuel Adams Boston Lager,15,40,Boston Beer Company,Botella,33.0,https://picsum.photos/seed/beer77/400/600,1.1
78,Carlsberg,2,41,Carlsberg Group,Lata,33.0,https://picsum.photos/seed/beer78/400/600,1.1
79,Carlsberg,2,41,Carlsberg Group,Botella,33.0,https://picsum.photos/seed/beer79/400/600,1.1
80,Tuborg,2,41,Carlsberg Group,Lata,33.0,https://picsum.photos/seed/beer80/400/600,1.1
